,credit_id,gender,id,name,profile_path,movies,appearance
77,52fe4773c3a36847f81365ef,2,16862,Claude Lelouch,/ngmASNQKQLSMriQajGZKaEcWcqc.jpg,"[48750, 42726, 37335, 50350, 14949, 36108, 48336, 139851, 34280, 76329, 33489, 38198, 45777, 352025, 76350, 76348, 99313, 36140, 53456]",19
78,52fe4402c3a368484e00a745,2,10296,Michael Goldenberg,/qU4WTFJN8z7w3VYYDbl9EH3ifNn.jpg,[20927],1
79,52fe461a9251416c910493c7,2,58712,Steve Miner,/yk90jxBifKosxEyP8CITJk1BTtt.jpg,"[36929, 9725, 9728, 11675, 11415, 12278, 9825, 10326, 11342, 13503, 23438, 10486, 13613, 15616]",14
80,52fe44dcc3a36847f80ae59b,2,25735,Christian Duguay,/dz0da6lHPAzAFTZMR0LvsGUr8cd.jpg,"[9102, 18355, 11398, 15074, 12629, 11944, 17919, 14643, 24331, 33305, 24475, 261985, 103675, 334304, 398924]",15
81,52fe4ab0c3a368484e161cd5,0,1080309,Susanne Ofteringer,,[124626],1
82,52fe4550c3a368484e0531c1,2,2228,Sean Penn,/f2uy1zq0qmtLBpsr6N9uQ8FktOr.jpg,"[27526, 5955, 1926, 25598, 5915]",5
83,52fe4512c3a36847f80bae13,2,18069,Brian Gibson,/jjc2ARxLzv3El2tHeEUKC89vPtW.jpg,"[9623, 15765, 11133, 1618, 26803]",5
84,52fe470cc3a36847f8120b1d,2,120229,Jafar Panahi,/a8HN99enx3plYkpb1UK1Jl6qnmS.jpg,"[46785, 13898, 40427, 13209, 13209, 40882, 83552, 160171, 320006]",9
85,52fe423ec3a36847f800f319,2,5501,Gary Fleder,/fKPxO8iWMuWYQ8sXeH1BPfQzqxm.jpg,"[400, 9437, 12103, 4965, 11329, 14325, 204082]",7
86,52fe4286c3a36847f8025ccf,0,13496,Marleen Gorris,/sSVUF5IE4nF4CCLzkwCfRmQz1Ws.jpg,"[880, 38904, 52654, 4592, 96529]",5
87,52fe4b889251416c75106047,2,27771,Tim Reid,/o5euxJdZMwtQJ37AiaklK8jHKuM.jpg,[146599],1
88,52fe4d3c9251416c7513477d,2,117075,Henry Jaglom,/yJRN22AlH1sDNXrq8rNqvL5ZpVo.jpg,"[188588, 188589, 161795, 120694, 142052, 53898, 144231, 214446, 214447, 108322, 41811]",11
89,52fe44aac3a36847f80a3273,0,55038,Philip Haas,,"[8447, 47724, 39327, 31040, 44546, 125958]",6
90,52fe43829251416c7501325d,2,578,Ridley Scott,/oTAL0z0vsjipCruxXUsDUIieuhk.jpg,"[10534, 78, 348, 4421, 11976, 31650, 1541, 98, 9740, 4105, 855, 19067, 7270, 1492, 1495, 9726, 4982, 12113, 20662, 70981, 109091, 147441, 286217, 126889]",24
91,52fe47239251416c7508f08d,0,29009,Ken Kwapis,/oPjor2KnZcSXmtude62KT62yBsu.jpg,"[17414, 17894, 21185, 36536, 17956, 9779, 2959, 10184, 78698, 63334, 232572]",11
92,52fe45c09251416c75061479,0,58448,Penelope Spheeris,/6MiXfO2EdA0keiJf0RmGNfLTvAc.jpg,"[13997, 11041, 10897, 12538, 8872, 21137, 36724, 22323, 28054, 64972, 26574, 103601, 44848, 82153, 77585, 180363, 77261, 70207]",18
